tweet, polarity, negative, neutral, positive, compound
let talk death due demonetisation dear nobody state ut etc non bjp ruled state single complaint,negative,0.281,0.599,0.12,-0.5423
dear rbi please hire count r cr second atleast know much cash received demonetisation,positive,0.0,0.692,0.308,0.5994
wonder dead demonetisation imagine amount money would laundered,negative,0.381,0.619,0.0,-0.6486
death due demonetisation single fir filled across state ut casualty including khangress ruled state,negative,0.378,0.622,0.0,-0.8074
mr pm crore cash given yugpurush demonetisation failed big time please resign kapilmishra,negative,0.317,0.556,0.128,-0.5267
gathering illegal cash problem demonetisation akexposed,negative,0.612,0.388,0.0,-0.743
precisely aap state demonetisation utter failure,negative,0.398,0.602,0.0,-0.5106
u mean cash amp corruption still going hence proved demonetisation failed miserably mudi must regine,negative,0.348,0.652,0.0,-0.7506
prolonged phase excess liquidity particularly demonetisation helping asset price inflation real growth employment,positive,0.0,0.56,0.44,0.7809
modi demonetisation black money giving status must accepted black bjpkajungleraaj r,positive,0.0,0.64,0.36,0.5423
list many siezed till date voter eagerly waiting action supporting demonetisation whole heartedly,positive,0.0,0.667,0.333,0.6705
amp terrorist attack amp deadly maoist attack happening demonetisation nov happened modi promise,negative,0.491,0.405,0.104,-0.8625
modi demonetisation policy success crorebaahubali rabindranathtagore आरक षण_एक_र ग bahubali kapilmishra sharukhkhan neet,positive,0.0,0.748,0.252,0.5719
globalgoals history st book kind time chosen demonetisation india ok,positive,0.0,0.588,0.412,0.6808
far strongest argument heard favour demonetisation bjp landslide victory mcd economic benefit anyone,positive,0.123,0.443,0.433,0.743
saaldeshbehaal anti farmer land grabbing ordinance anti poor anti farmer demonetisation muslim lynched dalits beaten,negative,0.561,0.439,0.0,-0.8957
saaldeshbehaal modi care people died due bad implementation demonetisation,negative,0.436,0.368,0.196,-0.5994
demonetisation soviet union disastrous via,negative,0.494,0.506,0.0,-0.5994
retweeted dr dalsingar yadav demonetisation disastrous decision bad effect prevail,negative,0.481,0.519,0.0,-0.8126
retweeted bjp demonetisation courageous successful decision modi government,positive,0.0,0.455,0.545,0.802
saalmodisarkar land grabbing anti farmer ordinance anti poor anti farmer demonetisation muslim lynched dalits beaten,negative,0.561,0.439,0.0,-0.8957
one question maam criticise asked surgical strike proof called demonetisation cr scam abused pm,negative,0.533,0.467,0.0,-0.886
another terror attack j amp k killed believe surgical strike amp demonetisation put end terror,negative,0.665,0.335,0.0,-0.9423
saalmodisarkar modi care people died due bad implementation demonetisation,negative,0.436,0.368,0.196,-0.5994
demonetisation disastrous decision bad effect prevail longtime money bank n marriage season,negative,0.451,0.549,0.0,-0.8126
inspite demonetisation predictor doomsday called organised loot amp plunder listening,negative,0.297,0.703,0.0,-0.5859
safe say demonetisation bring desired result म त र,positive,0.0,0.444,0.556,0.6124
mean demonetisation really hit terrorist hard,negative,0.624,0.376,0.0,-0.7678
globalgoals history st book kind time chosen demonetisation india ok,positive,0.0,0.588,0.412,0.6808
headmaster son new bank robber kashmir demonetisation robbery,negative,0.34,0.66,0.0,-0.5574
true demonetisation took away benefit baby wks mar maternityact law amended asap,positive,0.0,0.633,0.367,0.7003
grand success demonetisation time demamatisation west benga,positive,0.0,0.427,0.573,0.7717
cant u better thing like questioning demonetisation benefit farmer suicide soldier killing huh afraid right,negative,0.574,0.31,0.116,-0.896
demonetisation disaster n,negative,0.804,0.196,0.0,-0.6249
demonetisation literally killed people leave food medicine made people struggle life n,negative,0.5,0.5,0.0,-0.7906
demonetisation clean system immediate benefit pvt co gained paytm loss increased talk fact,positive,0.111,0.386,0.502,0.7964
demonetisation seems big scam clld benefit proving wrong,negative,0.459,0.338,0.203,-0.5859
demonetisation motive reducing counterfiets terror financing fake claim usual n,negative,0.481,0.519,0.0,-0.7579
nothing another hare brained scheme like demonetisation achieved absolutely nothing inconvenience poor,positive,0.0,0.539,0.461,0.7721
denied accept paytm parking long queue parking exit total fail digitalindia demonetisation,negative,0.356,0.5,0.144,-0.5859
according high weed energy indian every country support afoot ang rhetoric like post demonetisation pathar bazi diminishing mooooo,positive,0.0,0.673,0.327,0.743
demonetisation female workforce affected vulnerable segment labour force adversely n,negative,0.469,0.531,0.0,-0.5106
republic quiet kashmir demonetisation vypam panama paper idiot trying divert attention people sensitive issue,negative,0.202,0.798,0.0,-0.5106
ideal suck like help demonetisation worth,positive,0.201,0.069,0.729,0.765
taken part demonetisation exercise world biggest scam modi aap anoint foreign funding,negative,0.252,0.748,0.0,-0.5719
yes demonetisation stopped people kashmir lived peacefully suparijihadis,positive,0.146,0.385,0.469,0.6369
wow tough decision demonetisation bhi tha,positive,0.161,0.43,0.409,0.5106
even experience wt indigo horrible sometimes demonetisation indigo staff say pay excess baggage cash cash tht time,negative,0.246,0.754,0.0,-0.5994
curse named modi india destiny msrbpl via,negative,0.368,0.632,0.0,-0.5423
nation forgive anything yup fool demonetisation lackofpolicy unemployment,negative,0.45,0.388,0.163,-0.5719
online grocer threat india supermarket report,negative,0.405,0.595,0.0,-0.5267
imaginary demonetisation scam whole congress bragging without even proof,negative,0.316,0.684,0.0,-0.5719
true demonetisation failed bakhts blame congress acknowledge failure modi bjp,negative,0.506,0.337,0.157,-0.7351
lalutapeexposed modi care people died due bad implementation demonetisation,negative,0.436,0.368,0.196,-0.5994
economist history st book kind site cannot party china demonetise like modi,positive,0.132,0.525,0.344,0.5635
modi care people died due bad implementation demonetisation shameonmodi,negative,0.436,0.368,0.196,-0.5994
shame arun jaitley even conscience left killed almost people directly result demonetisation,negative,0.432,0.568,0.0,-0.8225
separatist taking money black white asking becos black money transaction died instant death demonetisation,negative,0.385,0.615,0.0,-0.8176
curse named modi india destiny khalidmfp via,negative,0.368,0.632,0.0,-0.5423
curse named modi india destiny khalidmfp via,negative,0.368,0.632,0.0,-0.5423
demonetisation certainly given better stats,positive,0.0,0.361,0.639,0.6486
indo canadian angry confused lack guideline demonetisation _ world news _ hindustan time,negative,0.497,0.503,0.0,-0.7845
indo canadian angry confused lack guideline demonetisation _ world news _,negative,0.568,0.432,0.0,-0.7845
curse named modi india destiny thebakwaashour via,negative,0.368,0.632,0.0,-0.5423
haha demonetisation every venture amp election funded ruling party,positive,0.0,0.551,0.449,0.6908
whether fake currency stopped due demonetisation u get demonetisation nation want know,negative,0.35,0.559,0.091,-0.5719
ur saying got demonetisation much black money get whether corruption terrorism naxlite stopped,negative,0.371,0.629,0.0,-0.7579
truth dare modi ji truth benefit demonetisation modi ji dare live press conference modi ji dosti bane rahe bus,positive,0.0,0.678,0.322,0.765
note ban disruptive policy innovation since demonetisation noteban modi bjp rbi demonetisationdisaster,negative,0.337,0.514,0.149,-0.5106
job market bad demonetization totally ruined khushsundar via,negative,0.535,0.465,0.0,-0.7841
job market bad demonetization totally ruined navsarjngujarat via,negative,0.535,0.465,0.0,-0.7841
job market bad demonetization totally ruined pumpinsui via,negative,0.535,0.465,0.0,-0.7841
understanding demonetisation behind war cash via,negative,0.438,0.562,0.0,-0.5994
bill said evn imgne wh modi talking abt demonetisation g redy fr anthr idiotic wrks amp jumla saalmodisarkar,negative,0.184,0.816,0.0,-0.5574
demonetisation bump well truly consumer good company find,positive,0.0,0.388,0.612,0.7845
job market bad demonetization totally ruined sharansujit via,negative,0.535,0.465,0.0,-0.7841
kashmir seeing series bank robbery cash crunch demonetisation turning terrorist robber,negative,0.48,0.52,0.0,-0.8519
demonetisation courageous successful decision modi government shri tripurawelcomesamitshah,positive,0.0,0.455,0.545,0.802
bjp r as piece instead grilling nalla pm army beheading kashmir demonetisation kaladhan corruption terrorism attack others,negative,0.355,0.645,0.0,-0.8271
demonetisation courageous successful decision modi government shri amitshah tripurawelcomesamitshah,positive,0.0,0.493,0.507,0.802
demonetisation courageous successful decision modi government shri tripurawelcomesamitshah,positive,0.0,0.455,0.545,0.802
uncle talking demonetisation become joke noone know benefit every told benefit slapped back,positive,0.0,0.549,0.451,0.802
u anything farmer maharashtra u power secondly demonetisation would dried ur coffer u win,positive,0.0,0.725,0.275,0.5859
demonetisation failed make negative impact thane realty rental market time india realestate,negative,0.412,0.588,0.0,-0.7906
one thing mr unable understnd demonetisation game nda played election win tool valid amp legal,positive,0.0,0.609,0.391,0.7717
demonetisation courageous successful decision modi government shri,positive,0.0,0.41,0.59,0.802
totally agree demonetisation courageous successful,positive,0.0,0.163,0.837,0.8822
hope co demonetisation deliver intended benefit eroded rbi credibility hope worsen rbi credibility,positive,0.156,0.427,0.417,0.6705
demonetisation courageous successful decision government shri ji tripurawelcomesamitshah,positive,0.0,0.455,0.545,0.802
tripurawelcomesamitshah demonetisation courageous successful decision modi government shri,positive,0.0,0.455,0.545,0.802
demonetisation courageous successful decision modi government shri ji tripurawelcomesamitshah,positive,0.0,0.493,0.507,0.802
demonetisation courageous successful decision modi government shri,positive,0.0,0.41,0.59,0.802
demonetisation courageous successful decision modi government shri,positive,0.0,0.41,0.59,0.802
demonetisation courageous successful decision modi government shri,positive,0.0,0.41,0.59,0.802
demonetisation courageous successful decision modi government shri tripurawelcomesamitshah,positive,0.0,0.455,0.545,0.802
demonetisation courageous successful decision modi government shri amitshah live,positive,0.0,0.493,0.507,0.802
bjpindia demonetisation courageous successful decision modi government shri amitshah live,positive,0.0,0.526,0.474,0.802
demonetisation courageous successful decision modi government shri tripurawelcomesamitshah,positive,0.0,0.455,0.545,0.802
demonetisation courageous successful decision modi government shri live,positive,0.0,0.455,0.545,0.802
tangible gain demonetisation,positive,0.0,0.37,0.63,0.5267
complete lie anti national terrorist struggling get financial support demonetisation,negative,0.53,0.324,0.146,-0.7964
job market bad demonetization totally ruined khushsundar via,negative,0.535,0.465,0.0,-0.7841
yeah see peacefully modiji resolved kashmir amp naxal issue since demonetisation,positive,0.0,0.523,0.477,0.743
bhakt joke like demonetisation people understand still cheer cuz modi,positive,0.0,0.467,0.533,0.7906
demonetisation supposed end cash transaction amp corruption movement cash new currency like amp definitely corruption also,positive,0.0,0.729,0.271,0.6369
sure would caring bjp even ask benefit historic demonetisation,positive,0.0,0.414,0.586,0.8176
happy birthday twitter warrior legwork demonetisation good journalism,positive,0.0,0.476,0.524,0.765
congress lover seems bjp govt beginning independence people supported demonetisation bjp winning,positive,0.0,0.486,0.514,0.8591
government take step privatise air india nation expects bold move courageous attempt demonetisation,positive,0.0,0.647,0.353,0.7184
anybody dare ask biggest scam century demonetisation republictv running fake story meant bhakts,negative,0.382,0.618,0.0,-0.7783
praising name achievement world wondering psychopath continuing demonetisation,positive,0.0,0.667,0.333,0.5423
scary sad time rip ranted india would become another venezuela demonetisation,negative,0.412,0.588,0.0,-0.743
fighting digitize economy refusing accep digital payment wierd demonetisation,negative,0.426,0.574,0.0,-0.6369
cheat bae accept wrong demonetisation,negative,0.57,0.187,0.243,-0.5423
war black money bjp congress unite hide fund source,negative,0.444,0.556,0.0,-0.6808
opportunity cost lost bank nov jan demonetisation huge make good,positive,0.141,0.368,0.491,0.6908
modi ji demonetisation destroyed nation poor people suffering modimustresign,negative,0.61,0.39,0.0,-0.8555
demonetisation biggest scam,negative,0.649,0.351,0.0,-0.5719
u lost u p becoz criticising demonetisation ab kuch seekh le tinku,negative,0.417,0.583,0.0,-0.6124
demonetisation action without study fatal study without action futile mary ritter beard,positive,0.0,0.655,0.345,0.6435
bcz response foreign investor per caput income increase gdp growth showing downward,positive,0.0,0.671,0.329,0.5994
headmaster son new bank robber kashmir demonetisation robbery,negative,0.34,0.66,0.0,-0.5574
supreme court refuse stay govt order demonetisation _ india news _ hindustan time supreme court refused stay monday,positive,0.186,0.508,0.305,0.5859
happy small part insightful survey demonetisation amp impact luxury sector lead great work sir,positive,0.0,0.606,0.394,0.8316
feel dont worry modi come magic pill like demonetisation,positive,0.0,0.588,0.412,0.6002
job data arm acquisition bank npa sale loss making psu closing useless ministry min govt achievement demonetisation tired typing,negative,0.333,0.667,0.0,-0.7906
curse named modi india destiny,negative,0.467,0.533,0.0,-0.5423
kashmir spurt bank robbery show demonetisation left militant cash starved,negative,0.286,0.714,0.0,-0.5574
patriotspunished bjp another manmohan singh govt kashmir policy demonetisation also failed new job tax cut,negative,0.293,0.707,0.0,-0.6597
job market bad demonetization totally ruined sanjaysri via,negative,0.535,0.465,0.0,-0.7841
job market bad demonetization totally ruined surendr via,negative,0.535,0.465,0.0,-0.7841
really thrown random number quantifying dalits killed bramhins even pulled one demonetisation,negative,0.28,0.623,0.097,-0.6041
cash crunch demonetisation seems turning terrorist j k robber poor security,negative,0.606,0.266,0.128,-0.875
much beyond demonetisation promoter run away hard earned money small investor much financial crime,negative,0.29,0.71,0.0,-0.5994
accept saved bank demonetisation asking right question india today,positive,0.0,0.565,0.435,0.6597
every knew cow beeff ynchings going crazy guess knew wud flop show economic policy demonetisation,negative,0.27,0.73,0.0,-0.5859
busy demonetisation march closing perfect time thanks,positive,0.0,0.431,0.569,0.765
heard modiji demonetisation stopped terrorism naxalism u r hurting delicate sentiment bhakts,negative,0.561,0.366,0.073,-0.8402
note ban disruptive policy innovation since demonetisation noteban modi bjp rbi demonetisationdisaster,negative,0.337,0.514,0.149,-0.5106
demonetisation lead growth formal sector demonetisation formal sector growth,positive,0.0,0.574,0.426,0.6369
kashmir spurt bank robbery show demonetisation left militant cash starved,negative,0.286,0.714,0.0,-0.5574
kashmir spurt bank robbery show demonetisation left militant cash starved via,negative,0.265,0.735,0.0,-0.5574
job market bad demonetization totally ruined satisfy ego one person,negative,0.401,0.408,0.191,-0.5595
may start arnab taking love towards pakistan amp demonetisation,positive,0.0,0.656,0.344,0.6369
yawn standard going terribly demonetisation effect,negative,0.419,0.581,0.0,-0.5574
sanghis demonetisation panacea evil india sanghis aadhaar panacea evil india quackmodi,negative,0.494,0.506,0.0,-0.8689
mamata gave ultimatum modi discontinue demonetisation day else day went murmur idiotic didi,negative,0.231,0.769,0.0,-0.5574
demonetisation could biggest scam govt ppl still keeping old currency probably exchanging,negative,0.252,0.748,0.0,-0.5719
modiji already choke demonetisation,negative,0.538,0.462,0.0,-0.5423
demonetisation unlikely help economy check graft show take bold decision,positive,0.0,0.602,0.398,0.6486
globalgoals history st book kind time chosen demonetisation india ok,positive,0.0,0.588,0.412,0.6808
demonetisation gt loss hundred life black money n fake note situation still continue terriorism r badh gya kch b nai bdla,negative,0.24,0.667,0.093,-0.5106
opposite party india critisize modijis demonetisation plan closed mouth becouse plan success,positive,0.0,0.61,0.39,0.7506
true demonetisation gst amp npaordinance game changing every sense word strong message wilful defaulter time,positive,0.0,0.681,0.319,0.7269
demonetisation surgical strike ind ban boarder cancelled deal russia armory one rank one pension next,negative,0.372,0.628,0.0,-0.7269
helplessness come ppl want potray perception fight aapians game perception since demonetisation,negative,0.356,0.562,0.081,-0.6597
ha ha body die despite greatest economist amp ex pm madam puppet dr manmohan singh forecast demonetisation,negative,0.29,0.519,0.191,-0.5374
india migraine r u silent sanghi arnab army beheading crpf massacre kashmir violence kala dhan demonetisation farmer suicide,negative,0.381,0.619,0.0,-0.8625
prof demonetisation hit terrorist funding,negative,0.54,0.46,0.0,-0.6908
india migraine sanghi arnab goingask q modi demonetisation black money army beheading crpf massacre sanghi terrorism,negative,0.247,0.753,0.0,-0.6808
demonetisation lead growth thanks ji predicts growth indian economy,positive,0.0,0.426,0.574,0.7964
bank robbery kashmir something cash crunch terrorist facing demonetisation,negative,0.37,0.63,0.0,-0.6908
demonetisation disaster despite ppl think modi behind guj riot despite court think else master survive,negative,0.372,0.628,0.0,-0.8271
poor ahead time explained exactly problem demonetisation n wat aim,negative,0.453,0.547,0.0,-0.7003
demonetisation get rid bad loan,negative,0.467,0.533,0.0,-0.5423
globalgoals history st book kind time chosen demonetisation india ok,positive,0.0,0.588,0.412,0.6808
demonetisation wipe bad loan sort logic,negative,0.412,0.588,0.0,-0.5423
feku cant admit failed govt agency still got clue success failed demonetisation give figure,positive,0.077,0.483,0.44,0.8182
seriously mr prime minister kidding unless people country complete idiot,negative,0.373,0.522,0.104,-0.5574
triple talaq demonetisation lpg woman discrimination maosis v terrorist bank textation turmoil vote bank got,negative,0.375,0.625,0.0,-0.802
demonetisation people rescued sex worker writes asking change r k saved,positive,0.0,0.556,0.444,0.6808
used hide money brothel keeper wanted take home bangladesh worthless post demonetisation,negative,0.315,0.685,0.0,-0.5574
one trust demonetisation slide foresighted mm chidanbaram,positive,0.0,0.645,0.355,0.5106
u really read news live whatsapp fb world created bhartiya jumla party,positive,0.0,0.657,0.343,0.5719
post demonetisation terrorist funding hit desperate one hell ruthless crackdown needed finish,negative,0.563,0.437,0.0,-0.9118
best way drive black money ambani brother benefitted directly demonetisation,positive,0.0,0.537,0.463,0.7845
terrorist targeting bank kashmir new currency publicity demonetisation,negative,0.402,0.598,0.0,-0.6908
oly ppl praised demonetisation cricketer n actor wr economist around world condemnd isnt antr trick,positive,0.0,0.734,0.266,0.5184
economist history st book kind site cannot party china demonetise like modi,positive,0.132,0.525,0.344,0.5635
jared kushner owns lucent technology maker rfid chip youtube say he planning kill trump impose demonetisation amp rfid chip,negative,0.289,0.711,0.0,-0.7845
demonetisation global slowdown continue hurt emami q,negative,0.405,0.595,0.0,-0.5267
novice india gold demand q post note ban gst monsoon key wgc coming demonetisation,negative,0.317,0.683,0.0,-0.6249
blaming note forbidden say anything else demonetisation,negative,0.545,0.455,0.0,-0.7184
demonetisation unlikely help indian economy check graft say prominent journalist news india,positive,0.0,0.667,0.333,0.6124
newindia anything kill upto ppl normal demonetisation cowterrorism,negative,0.402,0.598,0.0,-0.6908
majority rajya sabha thru urgent demonetisation strip congress etc inr wealth agenda,positive,0.0,0.667,0.333,0.6124
headmaster son new bank robber kashmir demonetisation robbery,negative,0.34,0.66,0.0,-0.5574
haha hilarious initially demonetisation amp yogiadityanath minimal earnings police unable clear elect bill,positive,0.0,0.546,0.454,0.8074
dasshaktikanta delay counting banned note deposited post demonetisation watch buck stop,negative,0.484,0.516,0.0,-0.7579
delay counting banned note deposited post demonetisation watch buck stop,negative,0.517,0.483,0.0,-0.7579
fascist feku india prime madman pm delivers achhedin aviation sector demonetisation,negative,0.265,0.735,0.0,-0.5574
demonetisation global slowdown continue hurt emami q,negative,0.405,0.595,0.0,-0.5267
demonetisation u shitted shouted u remove modi ji power kiya pig shit u,negative,0.441,0.559,0.0,-0.743
anti national iata blame demonetisation,negative,0.61,0.39,0.0,-0.5719
iata blame note ban demonetisation disaster,negative,0.771,0.229,0.0,-0.8779
cry lost lot money demonetisation,negative,0.643,0.357,0.0,-0.6597
corporateresult demonetisation global slowdown continue hurt emami q,negative,0.362,0.638,0.0,-0.5267
demonetisation global slowdown continue hurt emami q,negative,0.405,0.595,0.0,-0.5267
fired misguided missile demonetisation eradicatd terror showing chest incr morale afs continous degradation,negative,0.51,0.49,0.0,-0.886
novice demonetisation global slowdown continue hurt emami q demonetisation together slowdow,negative,0.274,0.726,0.0,-0.5267
modi care people died due bad implementation demonetisation shameonmodi,negative,0.436,0.368,0.196,-0.5994
u really think demonetisation success god bless ur distressed soul,positive,0.168,0.3,0.532,0.7239
death happened due demonetisation terror attack continued uri nagore black money seem affected,negative,0.571,0.429,0.0,-0.9001
affected badly demonetisation,negative,0.825,0.175,0.0,-0.5719
demonetisation unlikely help indian economy check graft say prominent journalist,positive,0.0,0.615,0.385,0.6124
jai ho evidence successful demonetisation strong govt,positive,0.0,0.413,0.587,0.7964
today morning saki vihar road e challan upgraded great going perhaps impact demonetisation,positive,0.0,0.728,0.272,0.6249
demonetisation unlikely help economy check graft show take bold decision,positive,0.0,0.602,0.398,0.6486
digital transaction increased time post demonetisation yspot enables store go digital ease,positive,0.0,0.685,0.315,0.5574
demonetisation unlikely help economy check graft show take bold decision,positive,0.0,0.602,0.398,0.6486
agri route money laundering used corrupt politician amp ia bureaucrat action idiotic demonetisation,negative,0.231,0.769,0.0,-0.5574
month demonetisation delhi police arrest men fake currency worth lakh new currency note,negative,0.316,0.575,0.109,-0.5574
demonetisation said early brilliant political economic move modi politically audacious cautious statist eco,positive,0.082,0.585,0.333,0.6486
demonetisation know black money hoarder ran cover acted smart caught lac increase return,positive,0.0,0.688,0.312,0.6124
note ban disruptive policy innovation since demonetisation noteban modi bjp rbi demonetisationdisaster,negative,0.337,0.514,0.149,-0.5106
demonetisation unlikely help indian economy check graft say prominent journalist,positive,0.0,0.615,0.385,0.6124
demonetisation unlikely help indian economy check graft say prominent journalist,positive,0.0,0.615,0.385,0.6124
demonetisation unlikely help indian economy show pm modi bold take tough decision adam ro,positive,0.084,0.618,0.298,0.5859
funnily sanghis stating government totally failed control terrorism demonetisation complete failure,negative,0.543,0.323,0.134,-0.8707
demonetisation unlikely help indian economy check graft say prominent journalist,positive,0.0,0.615,0.385,0.6124
demonetisation unlikely help indian economy check graft say prominent journalist,positive,0.0,0.615,0.385,0.6124
demonetisation unlikely help indian economy show modi bold take tough decision adamroberts,positive,0.095,0.57,0.335,0.5859
let get ready one ce may couple demonetisation need save father akhand bharat,positive,0.0,0.659,0.341,0.6908
novice demonetisation unlikely help indian economy check graft say prominent journalist may pm,positive,0.0,0.688,0.312,0.6124
effect demonetisation fashion amp luxury amazing insight shared pearl portfolio,positive,0.0,0.563,0.437,0.7351
effect demonetisation fashion luxury great insight shared pearl portfolio,positive,0.0,0.519,0.481,0.7579
headmaster son new bank robber kashmir demonetisation robbery,negative,0.34,0.66,0.0,-0.5574
demonetisation unlikely help indian economy check graft show narendra modi take bold decision,positive,0.0,0.675,0.325,0.6486
yah achievement year visible amp round undoing may easy immediately like demonetisation impact,positive,0.0,0.671,0.329,0.6597
central bank money agree note coin strength based strength economy demonetisation result,positive,0.0,0.503,0.497,0.836
demonetisation unlikely help indian economy check graft show narendra modi take bold decision e,positive,0.0,0.675,0.325,0.6486
demonetisation unlikely help indian economy check graft show narendra modi take bold decision e,positive,0.0,0.675,0.325,0.6486
demonetisation success story,positive,0.0,0.351,0.649,0.5719
